0,T00007,eco,4641652,511145,RefSeq,GCF_000005845.2,GCF_000005845.2_ASM584v2_genomic.fna
1,T00068,ecj,4646332,316407,GenBank,GCA_000010245.1,GCA_000010245.1_ASM1024v1_genomic.fna
2,T00666,ecd,4686137,316385,GenBank,GCA_000019425.1,GCA_000019425.1_ASM1942v1_genomic.fna
3,T00913,ebw,4578159,595496,GenBank,GCA_000022345.1,GCA_000022345.1_ASM2234v1_genomic.fna
4,T02541,ecok,3976195,1110693,GenBank,GCA_000350185.1,GCA_000350185.1_ASM35018v1_genomic.fna
6,T00044,ece,5528445,155864,GenBank,GCA_000006665.1,GCA_000006665.1_ASM666v1_genomic.fna
7,T00048,ecs,5498578,386585,RefSeq,GCF_000008865.2,GCF_000008865.2_ASM886v2_genomic.fna
8,T00778,ecf,5572075,444450,GenBank,GCA_000021125.1,GCA_000021125.1_ASM2112v1_genomic.fna
9,T00949,etw,5528136,544404,GenBank,GCA_000022225.1,GCA_000022225.1_ASM2222v1_genomic.fna
10,T02122,elx,5386223,741093,GenBank,GCA_000262125.1,GCA_000262125.1_ASM26212v1_genomic.fna
11,T01097,eoi,5371077,585396,GenBank,GCA_000010765.1,GCA_000010765.1_ASM1076v1_genomic.fna
12,T01098,eoj,5697240,573235,GenBank,GCA_000091005.1,GCA_000091005.1_ASM9100v1_genomic.fna
13,T01096,eoh,5449314,585395,GenBank,GCA_000010745.1,GCA_000010745.1_ASM1074v1_genomic.fna
14,T03010,ecoo,5585613,1248902,GenBank,GCA_000520035.1,GCA_000520035.1_ASM52003v1_genomic.fna
15,T03011,ecoh,5402276,1248915,GenBank,GCA_000520055.1,GCA_000520055.1_ASM52005v1_genomic.fna
16,T02257,esl,5273097,1133852,GenBank,GCA_000299455.1,GCA_000299455.1_ASM29945v1_genomic.fna
17,T02256,eso,5312586,1133853,GenBank,GCA_000299475.1,GCA_000299475.1_ASM29947v1_genomic.fna
18,T02316,esm,5253138,1134782,GenBank,GCA_000299255.1,GCA_000299255.1_ASM29925v1_genomic.fna
19,T00826,eck,5154862,585055,GenBank,GCA_000026245.1,GCA_000026245.1_ASM2624v1_genomic.fna
20,T00796,ecg,4965553,574521,GenBank,GCA_000026545.1,GCA_000026545.1_ASM2654v1_genomic.fna
21,T01190,eok,5386352,701177,GenBank,GCA_000025165.1,GCA_000025165.1_ASM2516v1_genomic.fna
22,T02066,elr,5263980,1048689,GenBank,GCA_000245515.1,GCA_000245515.1_ASM24551v1_genomic.fna
23,T02069,elh,5153435,316401,GenBank,GCA_000210475.1,GCA_000210475.1_ASM21047v1_genomic.fna
24,T00590,ecw,4979619,331111,GenBank,GCA_000017745.1,GCA_000017745.1_ASM1774v1_genomic.fna
25,T02001,eun,5186416,696406,GenBank,GCA_000212715.2,GCA_000212715.2_ASM21271v2_genomic.fna
26,T00373,ecp,4938920,362663,GenBank,GCA_000013305.1,GCA_000013305.1_ASM1330v1_genomic.fna
