T00007,eco,511145,Escherichia coli K-12 MG1655,Prokaryotes,Bacteria,Enterobacterales,Escherichia
T00068,ecj,316407,Escherichia coli K-12 W3110,Prokaryotes,Bacteria,Enterobacterales,Escherichia
T00666,ecd,316385,Escherichia coli K-12 DH10B,Prokaryotes,Bacteria,Enterobacterales,Escherichia
T00913,ebw,595496,Escherichia coli K-12 BW2952,Prokaryotes,Bacteria,Enterobacterales,Escherichia
T02541,ecok,1110693,Escherichia coli K-12 MDS42,Prokaryotes,Bacteria,Enterobacterales,Escherichia
T00044,ece,155864,Escherichia coli O157:H7 EDL933 (EHEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T00048,ecs,386585,Escherichia coli O157:H7 Sakai (EHEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T00778,ecf,444450,Escherichia coli O157:H7 EC4115 (EHEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T00949,etw,544404,Escherichia coli O157:H7 TW14359 (EHEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T02122,elx,741093,Escherichia coli O157:H7 Xuzhou21 (EHEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T01097,eoi,585396,Escherichia coli O111:H- 11128 (EHEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T01098,eoj,573235,Escherichia coli O26:H11 11368 (EHEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T01096,eoh,585395,Escherichia coli O103:H2 12009 (EHEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T03010,ecoo,1248902,Escherichia coli O145:H28 RM13514 (EHEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T03011,ecoh,1248915,Escherichia coli O145:H28 RM13516 (EHEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T02257,esl,1133852,Escherichia coli O104:H4 2011C-3493 (EAEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T02256,eso,1133853,Escherichia coli O104:H4 2009EL-2071 (EAEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T02316,esm,1134782,Escherichia coli O104:H4 2009EL-2050 (EAEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T00826,eck,585055,Escherichia coli 55989 (EAEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T00796,ecg,574521,Escherichia coli O127:H6 E2348/69 (EPEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T01190,eok,701177,Escherichia coli O55:H7 CB9615 (EPEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T02066,elr,1048689,Escherichia coli O55:H7 RM12579 (EPEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T02069,elh,316401,Escherichia coli O78:H11:K80 H10407 (ETEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T00590,ecw,331111,Escherichia coli O139:H28 E24377A (ETEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T02001,eun,696406,Escherichia coli UMNK88 (ETEC, porcine),Prokaryotes,Bacteria,Enterobacterales,Escherichia
T00373,ecp,362663,Escherichia coli O6:K15:H31 536 (UPEC),Prokaryotes,Bacteria,Enterobacterales,Escherichia
